,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,mrate
1,,South Korea,2020-03-07T10:13:22,7041,44,135,36.0,128.0,0.6249112341996875
2,,Italy,2020-03-07T17:33:03,5883,233,589,43.0,12.0,3.9605643379228286
3,,Iran,2020-03-07T17:43:05,5823,145,1669,32.0,53.0,2.4901253649321657
9,,France,2020-03-07T20:33:02,949,11,12,47.0,2.0,1.1591148577449948
13,Diamond Princess cruise ship,Others,2020-03-06T01:29:39,696,6,40,35.4437,139.638,0.8620689655172413
17,,Spain,2020-03-07T17:43:05,500,10,30,40.0,-4.0,2.0
19,,Japan,2020-03-07T17:43:05,461,6,76,36.0,138.0,1.3015184381778742
24,,Switzerland,2020-03-07T17:43:05,268,1,3,46.8182,8.2275,0.373134328358209
27,,UK,2020-03-07T17:43:05,206,2,18,55.0,-3.0,0.970873786407767
28,,Netherlands,2020-03-07T17:43:05,188,1,0,52.1326,5.2913,0.5319148936170213
40,Hong Kong,Hong Kong,2020-03-07T10:13:22,108,2,51,22.3,114.2,1.8518518518518519
48,"King County, WA",US,2020-03-07T20:23:03,71,15,1,47.548,-121.9836,21.12676056338028
51,,Iraq,2020-03-07T18:13:27,54,4,0,33.0,44.0,7.407407407407407
53,,Thailand,2020-03-07T10:13:23,50,1,31,15.0,101.0,2.0
55,Taiwan,Taiwan,2020-03-06T12:43:03,45,1,12,23.7,121.0,2.2222222222222223
60,New South Wales,Australia,2020-03-07T02:03:30,28,1,4,-33.8688,151.2093,3.5714285714285716
62,"Snohomish County, WA",US,2020-03-07T20:23:03,27,1,0,48.033,-121.8339,3.7037037037037037
64,,San Marino,2020-03-07T02:13:08,23,1,0,43.9424,12.4578,4.3478260869565215
99,,Philippines,2020-03-07T10:13:23,6,1,1,13.0,122.0,16.666666666666668
106,"Placer County, CA",US,2020-03-06T23:13:07,5,1,0,39.0916,-120.8039,20.0
115,Western Australia,Australia,2020-03-05T17:13:35,3,1,0,-31.9505,115.8605,33.333333333333336
